COMMENT_ID,AUTHOR,COMMENT
z12jzbkwfyuzdr1gg04cgzjqdpfgtnm5l04,Chris4chan,This video is kinda close to 1 million  views <br />﻿
z12uzrtwrxnfxrh3h22bzbuhekqzzp4mh,Großdeutsches Reich,Fuck you Eminem﻿
LneaDw26bFtQ_DKei9k8hUUWHEzYNvZwn-q5QT2FCVU,Derek Moya,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The metal drews the reflective effect. Why does the expansion intervene the hilarious bit? The sneeze witnesss the smoke."
LneaDw26bFsruAgOVpmqyunZmTUad56RMEd1CFlt2uY,Derek Moya,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?"
z12xirno0xvlwfz0o22rexjrlyuzyjttn,KING CAPP,2008-2010 were the years for pop﻿
z13uutbriumnuj3rq04ccbvqlwjuj1srhyk0k,Warcorpse666,sorry but eminmem is a worthless wife beating bastard﻿
LneaDw26bFt_sZxaSVD4YYGDWlCcEfLjcNyYrRWcSrg,Eminem King of Rap !,  Eminem is the king of rap  Micheal Jackson is the king of pop  If you also wanna go hard and wanna be the person of first class fame just check out Authenticviews*com and be famous just within days !! yO ~
z13kfpwrhzeuvfavb221yxoj3ynsi5vjo04,Warcorpse666,so spousal abusue cool that&#39;s great﻿
z130druz4w3wdtxpn04cfjjazmugzjtp5i0,General Delícia,she is megan fox?because she is very similar﻿
z13qgndqwtb0c1z0z23qjj5yivq0djqul,LEGO_01 AND OBRY,"Holy crap. 800,000,000 views?!﻿"
z13xxbfocuaewj0jl04cgbcioua2ht0zxjo,miguel Leon,eminem - RIHANNA﻿
z13kch2hprqkjhr5d04cdlwzkpeuwxljhhs,MajesticFlyingWhale,LOVE THIS SONG!!!﻿
z12agrbxiwabvrb2g22pfpcqys2eyrwbd04,Candela Camacho,What nicei⛺♥♥♥♥﻿
z12qidxykke3jnmm522nj3noypyaedja504,Destiny Boatley,I like this song very much﻿
LneaDw26bFuRc-oJgCqkRGDhRb4gOA2s1-Katw83fJI,Derek Moya,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  When does the flimsy slip facilitate the manager? How does the noise set goals the anxious regret? How does the actually loss retrieve the smile?"
z12osrsgan34db4eh223gbwr4urwhzfzv04,Hugo Gonzalez,I love it and my mom to﻿
z133inhqhvzzctc5z04cfdaqcq2uch04fes,RusPassingGame,Who is watching in 2015 like﻿
LneaDw26bFv3qdtt-_26444mTK_vLq39DRUsyxXMKkQ,AD OSG,Please check out my New Song (MUSIC VIDEO) AD - Dont Play
z13rj3tohue0exbkz22iyr3w2rntsfqcm,jameel alnozha,amazing song﻿
LneaDw26bFsY3eyLLIkw8L2IJlhDoVXNDE-9aWVb1s4,Derek Moya,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the wood photograph the husky breath? When does the act retain the delightful system? The rhythm fabricates the scintillating harbor."
LneaDw26bFv1OK5quUOMAxJiN8tdhKPRzQMpB13UZpY,Jerry White,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The cook officiates the tax. The walk judges the amount. Why does the ink train the valuable increase?"
LneaDw26bFtw9HLRdHT6M-zQCNCHF7b6j-vqweZRKh0,GreenStudioMashups,check out my Eminem &amp; Kid Cudi M a s h up /watch?v=XYTcq5NzMuA
z125ef44tkipszbsq22firvzrwqpi3qdd,Andi Arizmendi,I like it﻿
LneaDw26bFsNCzFDEM6x7-7RjXB5NjguHaB7LJf7qFg,dungeonturmoil1 .,"YO GUYS SORRY IF THIS ANNOYS YOU!!! BUT CHECK OUT MY CHANNEL, AND LATEST VIDEO. A LIKE AND SUBSCRIBE WOULD BE NICE TOO!!!!!!!"
LneaDw26bFtEfMdXUYebOl-nweqjHYVYlY80z53Y4DY,Nick Amodei,"This past Christmas my dad passed away, to help me cope I picked up a pen and some paper and started to write. Little did I know nearly 9 months ago that it would bring me where i&#39;m at today. Over 7k subscribers and 500k video views. I just wrote and released a song yesterday about a friend of mine who has tried to commit suicide several times, I can&#39;t promise you professionally produced music, but I can promise REAL lyrics. Just click on my picture. Thanks, and thumbs up so others may see?"
LneaDw26bFshakV1mr8xdnPsZTs4kKWkL20CH_8-gww,George Raps,"••••►►My name is George and let me tell u EMINEM is my idol my inspiration, I&#39;ve listen to him growing up, I never thou I would love rap this much But I thank him for helping me find my dream. So I rap now and make YouTube videos and yesterday I covered the song Mockingbird it&#39;s in my channel I worked really hard on it and it&#39;s one of my favorite songs of Him. So please go check it out and subscribe it would mean the world to me n sorry for the spam ◄◄••­•• don&#39;t hate I&#39;m not Eminem"
z13gwzgyuqaruxcg304ch5lwdwb0wtiztaw,tori strong,"love the way you lie featuring rhianna, hes an awesome rapper!!! shes an awesome singer!!!﻿"
z12xtnzbxomaglq4k04cfzpwiovxizj5l5o,austin green,Eminem is my insperasen and fav﻿
LneaDw26bFu2MoxKYLTd1zwJ-rs2k3ODQNQUJazVmcU,Frozthax,e.e....everyone could check out my channel.. dundundunnn
z12ai5agdlawczj5x04cfhbr2vuezzvox1s,harold_123,"Every collaboration between them, we know it will be number 1 ﻿"
LneaDw26bFtnG00TCBv-OKXOFCWEyHF4LFGUJv7VHNc,Scott Johnson,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the answer rehabilitate the blushing limit? The push depreciateds the steel. How does the beautiful selection edit the range?"
LneaDw26bFvfudvCyyJZYFnbHLToXau89jeMxKEcKTA,Scott Johnson,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the view disclose the macho lift? Why does the letter frame the thundering cause? Why does the talk prevent the conscious memory?"
z12lupcjftucw3v0x23ljvuzwpexizp0c,Eko Budi wibowo,good music﻿
LneaDw26bFuUfz6WhRf9xiRHsxHm0t4fXYLbcPhB7Lk,Scott Johnson,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  The jelly activates the reflective distribution. The normal top synthesizes the opinion. The victorious plant entertains the language."
LneaDw26bFsHybGKD92nHxbPKLFPvfv-HQtTPXZV1B8,Besser Wisser,if you need youtube subscriber mail hermann buchmair on fb
z13ptttyrxekcdvib04chdepnmqygrnwj4c,Domonic gamer,is it bad that my realtionship is just like this lol﻿
z12tsbvjay3avf04r04cdzegdkftg5cq5xg0k,Batman,This video deserves <b>1B</b> views!!!﻿
z12ddzwatzqijxh5p04cfnc5stnkjhbr3zg0k,tommy rincon,2015 and more....﻿
z12yc35j4vmxyfghs04ch3jhcyukjpqzvbw,ferri andrian,best song ever (y)﻿
z132sv1blzi0xhnld225vncq1niyyhrnr,Ben vW,I could hear this for years ;3﻿
z131c34acoqgwfkz304ccjertpfugxbrezw0k,ankit gulekar,Who is still watching in 2015﻿
z13lgrngavanillud22bxz05tpe0endag04,pooperscooper71,I wish that guy wasn&#39;t so protective geeze﻿
z13ft1vrfyqavjmth23xzt3wumncvb4r204,moisi rrudha,super rihanna﻿
LneaDw26bFu3Z1dDKWlNsmVswLAes4eWImEetoNbAKI,The NeedleWork,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ CHECK OUT MY CHANNEL ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬
LneaDw26bFsgggeU_vbp6eynA9RVJ0qto2OMt6tcgjk,deazy99,"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you"
z12bwhjbwl3twfayl04cjl0bfriocdkauk40k,Adan E,Rihanna is so beautiful and amazing ♥♥♥♥♥love her so much♥♥♥♥ forever RiRi fan ♥ ♥ ♥ ♥ ♥ ♥ ﻿
z13wxrnxjxz3wj3tn22sv33o0xyev5jfa,Durgesh Rathod,fav.﻿
LneaDw26bFsILb1-yJtTNbl7IIOeXIvJxxyU3o-EtR4,Yuliya Meow,"HEY GUYS!!! ❤❤❤❤❤❤❤  BEFORE YOU IGNORE ME, PLEASE, GIVE ME A CHANCE!  My name is Yuliya, I make COVERS. I started getting serious with Youtube September of 2013 because that’s Great challenge to myself. MY DREAM was to become a singer. Youtube helps me keep up! If you can please give me a chance and THUMBS THIS COMMENT UP so more people can see it. I swear I&#39;ll appreciate it. SUBSCRIBE PLEASE!!!  ❤❤❤ LOVE YOU!!! ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ XOXO ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ "
z12uxprwxwalxml0knzuxzxo5nyichlk1,Steph C,Check out this video on YouTube:﻿
z12sd1khsuqegzwrm04cinlxrpj3gfyydnk0k,BigBird Larry,Every single one of his songs brings me back to place I can never go back to and it hurts so bad inside﻿
z12avpyabxyzgdpjm04cj5mhyt22jdcbzow0k,Ezequiel Escamilla,I love your songs eminem your the rap god﻿
LneaDw26bFveIkl-BacAwMBXwQ4Sb4AH7IWbGVvmtB8,SnEakiESTG,SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG   SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG
z13sdfarvyi4trxew23owjhxfsv2zrmgw04,BigBird Larry,I cried this song bringing back some hard memories﻿
LneaDw26bFvomSMK6PblKKPEb52U5F8DKmdq5vbIyNY,Æle Skittles,subcribe to us an we will subscribe back
z12vu5fysyb2vfbar04cex4q5ue2xb25epc0k,said abdesalam,song is bad﻿
LneaDw26bFttCkyddOJEPH8MvdMEkuYK_CTH-fLEm8E,lisabelb,CHECK OUT MY COVER OF LOVE THE WAY YOU LIE PLEASE!!
LneaDw26bFsC5JIEICo3_lSrLloArwbectyGhPF4YeA,TheGenieBoy,check out fantasy music    right here -------&gt; the1fantasy  good music man.
LneaDw26bFtnSSLHdnzuBcuiWsrkKqOQgsyMmAcSnw4,Louis Bryant,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the war illustrate the exclusive space? The mountain refers the helpless death. The tax reviews the special music."
LneaDw26bFu6m-EpCDatW1lzUgnvB4uHV9oZhaYe89A,Louis Bryant,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The loud authority improves the canvas. When does the mother repair the uppity learning? The substantial cook derives the harbor."
LneaDw26bFtZQLtaItMp2bSQS4mrfYeKiGUTvOg1jrU,Louis Bryant,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the burst render the symptomatic bite? The knowledge briefs the narrow thought. How does the eager sky transmit the crush?"
LneaDw26bFvdj1Xw8Fetm_0WMQpBnvqzJ4yzcj0jXgA,Louis Bryant,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the mammoth waste achieve the shock? How does the limit reduce the delicate minute? How does the meaty scale adapt the oil?"
z120djlhizeksdulo23mj5z52vjmxlhrk04,Murlock Nightcrawler,Charlie from LOST?﻿
z13xebq4mlyqdda4w04chlsyirr2i54pkjg,kawaii sincebirth,"What the hell this song is already five years old?? I remember when it first came out, this was my jam﻿"
LneaDw26bFu5T8bwbIy7eMn91qk-o2L3cJylp6BIwdQ,OriginalFreshB,Check out my channel im 15 year old rapper!
z12ufpawowzutdgvb22gsdiatyi4xf4xq04,Victoriaa Hemming,is that Megan fox﻿
LneaDw26bFu-16wpkbRY_POG-WA_Hnc6J0bNJPD0g-k,Marko Vukoja,wtf. subscribe my channel thanx ;)
LneaDw26bFv6tN6HSeH4Rgiis0rYR8mu_y8Mh8Ck93Y,MrCurr3ncY,Hey check out my channel!!!! Please
z12otb5xdp3bdhwxo04cg5ga3kqvi1erzfw,Aniyah Wells,So he&#39;s admitting he killed his girlfriend???﻿
LneaDw26bFs2NLsTvDF3gXDLwcFi31Wf-kN6cQv8tOs,KeithLinscotts,check out you tube keithlinscotts one word keithlinscotts you tube .com
LneaDw26bFu764_yd9zHEi-XoTcdndpOwC39TdrGSRU,Themayerlife,Check out my mummy chanel!
z12bwpz4rlrjxzkuo22rfpbhfpz1xdluj,Ke Vin a.k.a. Righteous,i want to smack this year boy in to forever﻿
z13pi3zgwsqlitvtb23nzjermmfivrvrl04,Shakeema Edwards,"Charlie, heroin will do that to you.﻿"
LneaDw26bFvJRNWu0ts5Srp6x9BJYYPEHyXnuEF760k,Alex Weight-Loss,Fruits and vegetables give you longer lasting energy for weight loss.  Check out youtube.com/user/36loseweight.
z13cehkhxmugujbdh23ehzcijlfhcr4h204,Karen Cervantes,Love Song﻿
z12dc1xrjv3zgfpfl22pu5dh4va2upijn04,faith jones,Megan Fox is gorg in this!! Eminem is truly the rap god :)﻿
LneaDw26bFtX5RMSmXwiWyM-cpLU5CtNk9C9QQiT9Lc,Vincent T.,RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX)  CLICK! SUBSCRIBE!
z12wgbl4exjaf3xu223jej34rlabtjbkz,Rose Bruhns,Check out this video on YouTube:﻿
LneaDw26bFuWopul-gr37Vv-5semureg7PfAdqw3V5c,..xXCoolMultiXx..,He gets more views but has less subscribers lol
LneaDw26bFssNuHM19vJZwZIDvIkQHDPSkv7woLXuO0,ferhan kifle,Go check out eminem survival.
LneaDw26bFvdvI7rlQIcNpETWIMuWByXcsQPGKS7EVg,Chris King,Hey! I&#39;m a 16 Year old rapper from Texas I don&#39;t rap &quot;PMW&quot; but I promise my music will NOT disappoint.. Search therealchrisking1 to find me and listen to my track &quot;Memory Lane&quot; I just released my 3RD mix-tape &quot;Crown Me&quot; and so far I&#39;ve had nothing but good reviews about it. I&#39;m not asking you to like or subscribe but just 1 view will help me catch my dream. and if you could leave a comment letting me know what you think it would be MUCH appreciated also. Thank you.
LneaDw26bFsEJWfgAAquASY-phBHckFFppU0EKqD-yY,Elias Uchiha,if eminem gets 1 penny per view he would have 600 million dollars
LneaDw26bFtmqnbwore5s5LHQD3cpRwhBYdsz4yXRkM,INCRIVELawesome,Check Out LEANDRUS - PLAYTIME It&#39;s awesoooome !!
z12zcvjo2tbez1mfy23pvjwzckbbcdivp,Melody Peace,Check out this video on YouTube:﻿
LneaDw26bFu1Ru9jx_4ZrghWiGAVmVtFPtTTpL7ihGI,deazy99,"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you"
LneaDw26bFsOYjjXTrDu7GwukppwT8U_8uWaxcdut44,Monica Lewis,Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!   Dress like Rihanna at kpopcity.net - The largest discount fashion store in the world! Check out our &quot;Hollywood Collection&quot; to dress like all your favourite stars!
LneaDw26bFuXMGzeve-9_Piipp0wpaS_5AJyXS2fqJw,Kate Mcdermit,CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere
z13hcfzbesmjhpuzp04ccvzilqvcyj0x3yo0k,Vivek Bhardwaj,amazing song﻿
z12vcv5xuqq4gvpgu04ch5ah3vyqwzphryc0k,kissmehk,:)﻿
z12mt1p4mljosxzto224jzypky2henlbn04,Sandeep Singh,Charlie from LOST﻿
LneaDw26bFviVGu48zFp_sMMENzTpzWdbhRUvgtprCI,Dengesiz Adam,SubScribe me pls EMİNEM FANS
LneaDw26bFtleYKQHQZ7EJNapbBNzTiP3Yzy8i_2Dmc,Paiky MC,dude check out psy
z12tzpcjazigvrodo22dubixisqhfxtuo,twe enyss,"I love this-the talents of eminem and Skylar,works well together﻿"
LneaDw26bFsXWfdCYFbqrDwjflNnbdxcinzjRtW2rzw,FreshX,Share this video.. This song can beat PSY - Gangnam Style!
z12muxdydqnggz0gw04cgldbmvnlhzuxpu40k,AreWEFaumos Now,thumb up if you watching in 2015 and  you like it﻿
LneaDw26bFtNnEGpg7pf921bsfI1m57qBsEWQKlItrk,KC Cassette,Check out my remix to Tyga&#39;s - Molly ft. Whiz Khalifa Peace and love
LneaDw26bFsVCGrj_dxDKFtnhKwpdiPRkVcanAW9w7E,markwardist,Check out my channel please.
LneaDw26bFuM4VU33XXogBzYQDxO-q19BsZLZRAklss,Ractive,"i been working so hard for the past 60 days to improve i been writing/recording/mixing/performing 16 bars everyday im doing it for a whole year(365 days) today i&#39;m on day 60 today i work so hard now i&#39;m doing 2 verses everyday to improve i&#39;m going all the way to 365 PLEASE SUBSCRIBE to my channel  help me build a fan base ,watch me improve,help me get closer to my dream i&#39;m lyrical and i keep it real i won&#39;t leave you down i promise(: PLEASE SUBSCRIBE please like this  commment so people can see"
LneaDw26bFuFItWTKmffBRPA4v3HwunSq-ceF3kwQZ4,Juarez Ounfee, I can&#39;t believe this I just now watched a brand new adult video clip with rihanna She has been screwing a black Basketball player  Check out her video right here if you wish:   crazy-celeb-news.eu.pn
LneaDw26bFsHGo2NsZjHkppLdvkxCkgu3s2nWi99Oa8,MrJtill0317,┏━━━┓┏┓╋┏┓┏━━━┓┏━━━┓┏┓╋╋┏┓  ┃┏━┓┃┃┃╋┃┃┃┏━┓┃┗┓┏┓┃┃┗┓┏┛┃  ┃┗━━┓┃┗━┛┃┃┃╋┃┃╋┃┃┃┃┗┓┗┛┏  ┗━━┓┃┃┏━┓┃┃┗━┛┃╋┃┃┃┃╋┗┓┏┛  ┃┗━┛┃┃┃╋┃┃┃┏━┓┃┏┛┗┛┃╋╋┃┃  ┗━━━┛┗┛╋┗┛┗┛╋┗┛┗━━━┛╋╋┗┛ CHECK MY VIDEOS AND SUBSCRIBE AND LIKE PLZZ
z133sxsrnzbuwbe2o22iizkhvyicd5z0t,Sawa Jamal,Never gets old best song ever  ❤﻿
z13idj4w4yy5g1mx104cd3rwetmew3kq554,Fantasy Mysteries,First they were fighting... Then they were making out...﻿
LneaDw26bFupd-SDZSJybM-YnylZY3yw4Hx0dpG5Ars,deazy99,"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you"
LneaDw26bFua7KQM3MpFFLNg9dDrNznsK0wQXgR61YQ,rukshan bieber,Hey guys please just spent one minute for me:) im a singer from srilanka and im 18 year&#39;s old! SooO I LIKE TO BE GREAT SINGER will be a one day so i hope it would be happen in really my life. Just view my videos and rate it and let me know how is my voice please help us guys closer to living my dream:)! I really know you&#39;d helped me who read this comment he/she can just understand my feeling ! Thanks guys lv u really much more! SUBSCRIBE IT MY CHANNEL AND ONECE AGAIN THANK U !
LneaDw26bFtUEhNudjpH0X1gcH2nF0v4w6dhXurctSU,Ashim Limbu,YO GUYS IM 14 YEAR OLD RAPPER JUST STARTED RAPPING  SO PLEASE CHECK OUT MY SITE AND LEAVE FEEDBACK AND SUBSCRIBE  ALSO LIKE THIS COMMENT SO MORE CAN SEE AND MAKE MY CHANNEL BIG ASWELL
z122j3v55kiwzpqpc04cdxc4elf3zjuir4o,Linda Dipilato,Check out this video on YouTube:﻿
LneaDw26bFuGts11KE-vf8DxNybKxvOCLkkkExJk2pk,Honest586,*for 90&#39;s rap fans*  check out my Big Pun - &#39;Beware&#39; cover!  Likes n comments very much appreciated!
z12ywjeyiwu3jdqvq22ptpzpowithfaz204,hazem bitar,I love this song up to the moon &gt;3 you are Rocks!﻿
z12xu1bi1umyxxs2023ejhfpuumozd45n04,Ferhad Babayev,Hello. İ am from Azerbaijan<br />﻿
LneaDw26bFvv8RbyHRBDnA-4Bb1lhF9UlpzJf_5FkWM,이 정훈,"This great Warning will happen soon. ,0
LneaDw26bFst76VHKJL8PxaEy6VMNlvmriUDTSFK6vY,Ali Paša,2013-09-26T22:28:17.047000,Croatia &lt;3,0
LneaDw26bFvkAHxpKEnM25FYWkyXthsUpri6JuQsZnU,G Belrus,2013-09-26T22:26:12.832000,Nice one,0
LneaDw26bFtvZQt6JUEhasIEFRJG1exI_dVqdnQVPho,exode. comeback.,2013-09-26T22:23:00.710000,600m views.,0
LneaDw26bFunOarAg71AwGU6TJO6aZDKFIUn_TZ1_HY,Muhammad Shaeel Abbas,2013-09-26T22:15:45.476000,Fuck off!,0
LneaDw26bFt-oToUFj0z3vffLFNaxyKwZSIVQhiMx-E,Notorious Niko,2013-09-26T22:00:43.613000,""Hey guys im a 17yr old rapper trying to get exposure... I live in belgium where NO ONE speaks english so i have to resort to this gay SPAM...  Check out my 2 latest tracks as they are probably my best.. Audio isnt the best but im gonna invest in some real equipment for my next track..  Please Thumbs this up so others can see.. or hey dont just check me out yourself and leave a response and a like :D  Thanks in advance, you guys will be part of making my dream come TRUE   -Notorious Niko "
LneaDw26bFvpoWuT_30FVDq9XRmjOIn_01gQXnGANo4,Notorious Niko,"Hey guys im a 17yr old rapper trying to get exposure... I live in belgium where NO ONE speaks english so i have to resort to this gay SPAM...  Check out my 2 latest tracks as they are probably my best.. Audio isnt the best but im gonna invest in some real equipment for my next track..  Please Thumbs this up so others can see.. or hey dont just check me out yourself and leave a response and a like :D  Thanks in advance, you guys will be part of making my dream come TRUE   -Notorious Niko "
z13csrxzhwnis5zg404cdxpyrpbvtdcocz40k,Boksu Boc,EMINEM&lt;3 <br />the best rapper ever&lt;3﻿
z13wtn0o5ueli5m4b04cdjnjqzb5xftz4hw,Chelsea Yun,i hate rap﻿
LneaDw26bFtSk2czbMLQl8KluoXusyGfmZ0u3D3dXek,media.uploader,Check out my channel to see Rihanna short mix by me :)
LneaDw26bFv2Ps-QqkMShtEbaXEAA7MO4d-ZFRdrrW0,Anthony Konstantinou,Every weekend a new lyric video of Eminem here VIEW LIKE SUBSCRIBE
z12ojrdgoryvz5k4n04cidzimov5inlppto0k,Laura Winner,This song/video is such a trigger but it&#39;s just so good...﻿
LneaDw26bFvaBIGMY4DfxNzifyIUm7GOWp8Br9oySEk,DanteBTV,Check Out The New Hot Video By Dante B Called Riled Up
z13mh5zhdtrcst5xs04cddwzqtz5yhapzf0,LUKAZ G,Was that Meghan fox??﻿
LneaDw26bFs9Rg2Ij9HjO7kLn-wwxZttoa9Dx9BEGzQ,armontre,ayyy can u guys please check out my rap video im 16 n im juss tryna get some love please chrck it out an thank u
LneaDw26bFtHPL0j2tW4vknwh8imHXGX4vzYDmr2nhc,Jay Stevens,COME SUBSCRIBE TO MY CHANNEL! ;-)  PLEASE!!
z13cztvzwlzawvszx04cfp3rdma0dlyonso0k,Maria Montana,"Awesome song!,congratulations!!!﻿"
LneaDw26bFuMmBaTaA7SRY7EwUqxN2vHR8tDEuQfjRQ,BloodspitsMusic,"Come check out our music channel! go check out the song &quot;Love Me&quot; by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don&#39;t check it out you&#39;re still an amazing person just for reading this post"
LneaDw26bFvPh9xBHNw1btQoyP60ay_WWthtvXCx37s,janez novak,share and like this page to win a hand signed Rihanna photo!!! fb -  Fans of Rihanna
LneaDw26bFvPh9xBHNw1btQoyP60ay_WWthtvXCx37s,janez novak,share and like this page to win a hand signed Rihanna photo!!! fb -  Fans of Rihanna
LneaDw26bFuQPBnfEIFhEOee5UVNZ-dSDr4EIsxWocE,Adam B,check out my page ADAM B BEATS 2013
LneaDw26bFtoHCZ_b-m1MyTEpaNHWvF8VmCFhVRFMgU,HEADSHOT946,Look and shares my video please :D
z125w1ejhpqzinkmb23jej34rlabtjbkz,Rose Bruhns,Check out this video on YouTube:﻿
LneaDw26bFtJyeoa9E-59ntF4zGVkZb4OaitZmuvNyw,Noise​Break,Like &amp; Subscribe /watch?v=5tu9gN1l310
z12xyzfbixyuxf5wm04ccn2inoiyevdqwgo,PDV10,charlieee :DDDD (Those who saw Lost only will understand)﻿
LneaDw26bFsltJodWnZAafXscqrATBuKDM8-8lA4TQE,miamiscraziest,LADIES!!! -----&gt;&gt; If you have a broken heart or you just want to understand guys better you should check out this underground book called The Power of the Pussy on AMAZON. Best book ever for us girls! Oh...and just a warning it&#39;s for 18 and over...lol
LneaDw26bFvSkELgnp-ZdS5ZiYbn_tFmogawXBUucN4,Ked Woodly,COFFEE ! LOVERS ! PLEASE ! READ ! Check out a song I wrote and sing on You Tube called COFFEE LOVA.Type COFFEE LOVA like I spell it while your already on You Tube hit enter.Then look for video titled COFFEE LOVA hit enter and BLAST ! OFF !
LneaDw26bFtxWo398a4IB63xJxVOTtPd1Xqz0vPfw9s,Ractive,"hey guy if you can please SUBSCRIBE to my channel im a young dedicated rapper i post videos everyday to improve  i write/perform/record/mix/edit/post everyday  i do a verse everyday (16 bars)to improve i&#39;m doing it for 365 days a whole year to improve right now i&#39;m on day 46  if you guys can please like this comment so everyone can see it and follow me on my journey/watch me improve everyday SUBSCRIBE PLEASE I&#39;m lyrical and i keep it real  help me reach my dream,help me build a fan base,THANKS(:"
z12wyxvyuyiach5og04cclng3ujizpmbtg0,dmrc43,so many comments.﻿
z12qv3vybobijlzot04cjvqwxrnvvlzrs50,Unitedstates America,"Getting too 1billion views, holy moly.!!!﻿"
