LocationID	City Name	Territory	PostalCode	OpenDate	SellingAreaSize	DistrictName	Name	StoreNumberName	StoreNumber	City	Chain	DM	DM_Pic	DistrictID	Open Year	Store Type	Open Month No	Open Month
573	Columbia East	SC	29206	01/04/2005 00:00:00	10000	LI - District #3	Columbia Lindseys	573 - Columbia Lindseys	573	Columbia East, SC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2005	Same Store	4	Apr
574	Bowling Green	KY	42104	01/08/2005 00:00:00	10000	LI - District #5	Bowling Green Lindseys	574 - Bowling Green Lindseys	574	Bowling Green, KY	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2005	Same Store	8	Aug
575	Goldsboro	NC	27534	01/03/2005 00:00:00	10000	LI - District #3	Goldsboro Lindseys	575 - Goldsboro Lindseys	575	Goldsboro, NC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2005	Same Store	3	Mar
576	Gallatin	TN	37066	01/07/2005 00:00:00	15000	LI - District #5	Gallatin Lindseys	576 - Gallatin Lindseys	576	Gallatin, TN	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2005	Same Store	7	Jul
577	Elizabethtown	KY	42701	01/12/2005 00:00:00	10000	LI - District #5	Elizabethtown Lindseys	577 - Elizabethtown Lindseys	577	Elizabethtown, KY	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2005	Same Store	12	Dec
579	Gastonia	NC	28054	01/12/2006 00:00:00	15000	LI - District #4	Gastonia Lindseys	579 - Gastonia Lindseys	579	Gastonia, NC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2006	Same Store	12	Dec
580	Chattanooga	TN	37421	01/03/2006 00:00:00	15000	LI - District #5	Chattanooga Lindseys	580 - Chattanooga Lindseys	580	Chattanooga, TN	Lindseys	Annelie Zubar	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Annelie Zubar.jpg	11	2006	Same Store	3	Mar
581	Kernersville	NC	27284	01/04/2007 00:00:00	10000	LI - District #4	Kernersville Lindseys	581 - Kernersville Lindseys	581	Kernersville, NC	Lindseys	Brad Sutton	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Brad Sutton.jpg	10	2007	Same Store	4	Apr
582	Chambersburg	PA	17201	01/12/2008 00:00:00	10000	LI - District #1	Chambersburg Lindseys	582 - Chambersburg Lindseys	582	Chambersburg, PA	Lindseys	Allan Guinot	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Allan Guinot.jpg	6	2008	Same Store	12	Dec
583	Raleigh	NC	27612	01/06/2010 00:00:00	10000	LI - District #3	Raleigh PV Lindseys	583 - Raleigh PV Lindseys	583	Raleigh, NC	Lindseys	Chris Gray	https://obvience-public.sharepoint.com/SiteAssets/images/demo/people/Chris Gray.jpg	9	2010	Same Store	6	Jun
